suite,stem,M,H,F,heads,layers,gpu_wall_p50_ms,hetero_wall_p50_ms,gpu_wall_p95_ms,hetero_wall_p95_ms,speedup,nrmse,cosine,gpu_reference_nrmse,hetero_reference_nrmse,quality_pass,process_s
screen,1024x2048_tp25_L2_r0,1024,2048,8192,32,2,57.630854,49.236209,58.141223,49.528608,1.170497,0.005423,0.999985,0.0,0.0,True,5.288897457998246
screen,1024x2048_tp25_L3_r0,1024,2048,8192,32,3,89.086187,74.8735,91.32812,76.107704,1.189823,0.006184,0.999981,0.0,0.0,True,7.625156542053446
screen,1024x2048_tp50_L1_r0,1024,2048,8192,32,1,29.049771,19.512916,29.897827,21.196121,1.488746,0.00569,0.999984,0.0,0.0,True,3.836676250095479
screen,1024x2048_tp50_L2_r0,1024,2048,8192,32,2,58.348833,40.390312,59.014243,40.791352,1.444624,0.007634,0.999971,0.0,0.0,True,5.827648833976127
screen,1024x2048_tp50_L3_r0,1024,2048,8192,32,3,89.12125,60.37575,90.305152,61.746677,1.47611,0.008686,0.999962,0.0,0.0,True,7.930198083049618
screen,1024x2048_tp75_L1_r0,1024,2048,8192,32,1,28.093166,21.198916,29.805044,22.535254,1.325217,0.006955,0.999976,0.0,0.0,True,4.5976668749935925
screen,1024x2048_tp75_L2_r0,1024,2048,8192,32,2,57.668333,42.212646,58.071529,43.535217,1.366139,0.009323,0.999957,0.0,0.0,True,6.657165082986467
screen,1024x2048_tp75_L3_r0,1024,2048,8192,32,3,85.99248,63.961104,87.712183,65.920589,1.34445,0.010605,0.999944,0.0,0.0,False,8.733196540968493
screen,1024x2048_triple_L1_r0,1024,2048,8192,32,1,29.76925,23.187958,30.093431,24.005369,1.283824,0.000476,1.0,0.0,0.0,True,3.4146464159712195
screen,1024x2048_triple_L2_r0,1024,2048,8192,32,2,57.890958,45.669291,58.556015,46.7571,1.267612,0.000863,1.0,0.0,0.0,True,5.537364291958511
screen,1024x2048_triple_L3_r0,1024,2048,8192,32,3,86.288062,68.413812,88.248438,69.997627,1.261267,0.001095,0.999999,0.0,0.0,True,7.674203832983039
screen,256x1024_cpu_L1_r0,256,1024,4096,16,1,1.905083,2.253896,3.783377,3.918027,0.84524,0.000234,1.0,0.0,0.0,True,0.30582762497942895
screen,256x1024_cpu_L2_r0,256,1024,4096,16,2,5.304626,5.944104,5.788048,6.349362,0.892418,0.000652,1.0,0.0,0.0,True,0.5263805829454213
screen,256x1024_cpu_L3_r0,256,1024,4096,16,3,7.50875,8.322916,7.663434,8.555977,0.902178,0.000858,1.0,0.0,0.0,True,0.7612845830153674
screen,256x1024_projection50_L1_r0,256,1024,4096,16,1,1.942667,1.882312,3.815033,3.71396,1.032064,0.000481,1.0,0.0,0.0,True,0.591948917019181
screen,256x1024_projection50_L2_r0,256,1024,4096,16,2,4.64425,5.513959,5.699381,5.731488,0.842271,0.000852,1.0,0.0,0.0,True,0.8217997909523547
screen,256x1024_projection50_L3_r0,256,1024,4096,16,3,7.529083,7.523375,7.756452,9.274444,1.000759,0.001027,0.999999,0.0,0.0,True,1.0404469999484718
screen,256x1024_sp50_L1_r0,256,1024,4096,16,1,1.881729,1.701438,3.790827,3.602429,1.105964,0.00536,0.999986,0.0,0.0,True,1.1392985000275075
screen,256x1024_sp50_L2_r0,256,1024,4096,16,2,5.48825,4.677875,5.912104,5.41032,1.173236,0.00679,0.999977,0.0,0.0,True,1.3009544169763103
screen,256x1024_sp50_L3_r0,256,1024,4096,16,3,7.608083,6.876979,8.049312,7.541997,1.106312,0.007256,0.999974,0.0,0.0,True,1.5789190420182422
screen,256x1024_tp25_L1_r0,256,1024,4096,16,1,1.921667,1.909333,3.825768,3.853233,1.00646,0.003814,0.999993,0.0,0.0,True,0.6198749579489231
screen,256x1024_tp25_L2_r0,256,1024,4096,16,2,5.651041,4.981375,5.814584,5.835627,1.134434,0.004879,0.999988,0.0,0.0,True,0.7737108339788392
screen,256x1024_tp25_L3_r0,256,1024,4096,16,3,7.383938,7.493104,7.73651,7.869667,0.985431,0.005202,0.999986,0.0,0.0,True,1.0391064579598606
screen,256x1024_tp50_L1_r0,256,1024,4096,16,1,1.872084,1.7385,3.813709,3.512677,1.076838,0.005375,0.999986,0.0,0.0,True,0.7191387920174748
screen,256x1024_tp50_L2_r0,256,1024,4096,16,2,5.379812,4.876146,5.82374,5.603248,1.103292,0.006866,0.999976,0.0,0.0,True,0.9160387499723583
screen,256x1024_tp50_L3_r0,256,1024,4096,16,3,7.488646,6.589396,7.607887,6.829421,1.136469,0.007335,0.999973,0.0,0.0,True,1.1300449999980628
screen,256x1024_tp75_L1_r0,256,1024,4096,16,1,1.869063,2.2005,1.958706,2.971629,0.849381,0.006583,0.999978,0.0,0.0,True,0.8920579999685287
screen,256x1024_tp75_L2_r0,256,1024,4096,16,2,4.62873,3.768854,5.693573,4.920689,1.228153,0.008389,0.999965,0.0,0.0,True,1.0910981250926852
screen,256x1024_tp75_L3_r0,256,1024,4096,16,3,7.496417,6.748875,7.882753,7.579431,1.110765,0.008946,0.99996,0.0,0.0,True,1.3446699159685522
screen,256x1024_triple_L1_r0,256,1024,4096,16,1,2.108666,2.286479,4.079494,4.053338,0.922233,0.000424,1.0,0.0,0.0,True,0.606767833000049
screen,256x1024_triple_L2_r0,256,1024,4096,16,2,5.311166,5.352688,5.77164,5.833569,0.992243,0.000802,1.0,0.0,0.0,True,0.8101869999663904
screen,256x1024_triple_L3_r0,256,1024,4096,16,3,7.527083,7.464167,7.9547,7.987438,1.008429,0.000985,1.0,0.0,0.0,True,1.0454328749328852
screen,256x2048_cpu_L1_r0,256,2048,8192,32,1,7.750687,7.83575,7.9303,8.208419,0.989144,0.000233,1.0,0.0,0.0,True,0.765181792085059
screen,256x2048_cpu_L2_r0,256,2048,8192,32,2,15.556584,15.791792,15.832485,16.57499,0.985106,0.000664,1.0,0.0,0.0,True,1.433263250044547
screen,256x2048_cpu_L3_r0,256,2048,8192,32,3,23.30875,23.728645,24.028434,24.507162,0.982304,0.000892,1.0,0.0,0.0,True,2.1074439159128815
screen,256x2048_projection50_L1_r0,256,2048,8192,32,1,7.705771,6.786917,7.85483,7.12535,1.135386,0.000515,1.0,0.0,0.0,True,1.848066041013226
screen,256x2048_projection50_L2_r0,256,2048,8192,32,2,15.428396,12.61477,15.689812,13.979856,1.223042,0.000909,1.0,0.0,0.0,True,2.462398082949221
screen,256x2048_projection50_L3_r0,256,2048,8192,32,3,21.363437,19.018605,23.567363,20.801075,1.123292,0.00111,0.999999,0.0,0.0,True,3.0503307920880616
screen,256x2048_sp50_L1_r0,256,2048,8192,32,1,7.569104,39.69723,7.961436,40.954306,0.190671,2.3e-05,1.0,0.0,0.0,True,5.51142383296974
screen,256x2048_sp50_L2_r0,256,2048,8192,32,2,15.553458,78.563229,16.049542,81.500492,0.197974,0.000312,1.0,0.0,0.0,True,10.700009665917605
screen,256x2048_sp50_L3_r0,256,2048,8192,32,3,23.45448,117.844875,24.034425,119.613308,0.199028,0.000477,1.0,0.0,0.0,True,15.892648415989242
screen,256x2048_tp25_L1_r0,256,2048,8192,32,1,7.656521,6.988188,7.788883,7.147898,1.095638,0.003876,0.999992,0.0,0.0,True,1.5102986249839887
screen,256x2048_tp25_L2_r0,256,2048,8192,32,2,15.45225,13.687854,15.767279,14.252631,1.128902,0.005108,0.999987,0.0,0.0,True,2.185933916014619
screen,256x2048_tp25_L3_r0,256,2048,8192,32,3,22.921999,19.431354,23.35283,21.291721,1.17964,0.005629,0.999984,0.0,0.0,True,2.800661416957155
screen,256x2048_tp50_L1_r0,256,2048,8192,32,1,7.44677,6.045854,7.827267,6.266612,1.231715,0.00548,0.999985,0.0,0.0,True,2.3560673750471324
screen,256x2048_tp50_L2_r0,256,2048,8192,32,2,15.279459,10.371541,15.588279,12.204446,1.47321,0.007187,0.999974,0.0,0.0,True,2.897260708035901
screen,256x2048_tp50_L3_r0,256,2048,8192,32,3,23.075854,16.519375,23.304104,16.780494,1.396896,0.007901,0.999969,0.0,0.0,True,3.5793458750704303
